,user,text,favourite_count,retweet_count,created_at
0,elonmusk,@MuskUniversity Major respect for the makers,8643,426,2023-01-23 02:27:37+00:00
1,elonmusk,"@WallStreetSilv @SRSroccoReport No change in copper production is required for the transition to sustainable energy. 

Lithium refinement needs to increase dramatically, but lithium ore itself is extremely common throughout Earth.",15434,1377,2023-01-22 23:09:03+00:00
2,elonmusk,@mtaibbi Another case of parody &amp; reality being indistinguishable,31075,1922,2023-01-22 23:05:51+00:00
3,elonmusk,@emollick Wow,5491,241,2023-01-22 23:03:16+00:00
4,elonmusk,"@cb_doge @Tesla @mayemusk Wow, lot has happened in 13 years",28734,953,2023-01-22 19:57:28+00:00
5,elonmusk,@BillyM2k yeah,19452,638,2023-01-22 11:40:09+00:00
6,elonmusk,@cb_doge Busted,120907,2973,2023-01-22 10:42:04+00:00
7,elonmusk,@alx !!,23360,1213,2023-01-22 10:31:10+00:00
8,elonmusk,@BillyM2k One of my favorite features,3151,203,2023-01-22 10:30:07+00:00
9,elonmusk,@WholeMarsBlog Probably a good idea,2415,140,2023-01-22 10:21:20+00:00
10,elonmusk,@TheRabbitHole84 !!,3548,287,2023-01-22 04:35:01+00:00
11,elonmusk,@BillFOXLA @FoxNews Where have they *not* found classified documents? That might be a shorter list.,117182,11851,2023-01-22 02:30:29+00:00
12,elonmusk,@DrNickA True,21093,968,2023-01-22 00:26:55+00:00
13,elonmusk,@ashleevance https://t.co/5wtmeY5oQn,19548,629,2023-01-22 00:09:28+00:00
14,elonmusk,"@WallStreetSilv @CommunityNotes We are going to great lengths to avoid the Wikipedia left wing editorial control problem. By the same token, Community Notes cannot be biased towards the right either. Maximizing for truth is the goal.",10971,990,2023-01-22 00:06:35+00:00
15,elonmusk,@JonErlichman Always liked that design,76330,2016,2023-01-22 00:01:08+00:00
16,elonmusk,@ahmadtariq07 @Fidias0 True,14760,185,2023-01-21 22:50:41+00:00
17,elonmusk,🤗 https://t.co/9q0ZOUa1ZY,152316,9283,2023-01-21 22:49:04+00:00
18,elonmusk,@jgebbia 🤣,4380,148,2023-01-21 22:46:36+00:00
19,elonmusk,@WallStreetSilv @dogeofficialceo @TheRabbitHole84 @WholeMarsBlog @BillyM2k lmao,5417,313,2023-01-21 19:28:56+00:00
20,elonmusk,"@tyromper Yeah, we’re thinking hard about this",4635,218,2023-01-21 18:28:19+00:00
21,elonmusk,@PeterDiamandis Absolutely. Freedom means freedom to die when you are sure that you want to.,53455,3381,2023-01-21 18:09:15+00:00
